101,"Pengarth Road, Falmouth, Cornwall",Please contact Stratton Creber on 01326 315809 for viewing details.
102,"Northfield Road, Okehampton, Devon",Please contact Fulfords Estate Agents on 01837 658560 for viewing details.
103,"Meriton Court, 87 Lansdowne Road, Bournemouth, Dorset",Please contact Austin & Wyatt on 01202 298571 for viewing details.
104,"Manor Road, East Cliff, Bournemouth, Dorset",Please contact Palmer Snell on 01202 303388 for viewing details.
105,"New Row, Mylor Bridge, Falmouth, Cornwall",Please contact Miller Countrywide on 01326 318181 for viewing details.
106,"Portloe, Portloe, Truro, Cornwall",Please contact Miller Countrywide on 01326 270744 for viewing details.
107,"Higher Bore Street, Bodmin, Cornwall",Please contact Stratton Creber on 01208 7422 for viewing details.
108,"Hallaze Road, Penwithick, St. Austell, Cornwall",Please contact Miller Countrywide on 01726 66435 for viewing details.
109,"North Road West, Plymouth, Devon",Please contact Miller Countrywide on 01752 668242 for viewing details.
110,"Leswidden, St. Just, Penzance, Cornwall",Please contact Stratton Creber on 01736 360070 for viewing details.
111,"Manor Cottages, Wolborough Street, Newton Abbot, Devon",Please contact Fulfords Estate Agents on 01626 351951 for viewing details.
112,"Adelphi Mansions, Adelphi Road, Paignton, Devon",Please contact Miller Countrywide on 01803 529300 for viewing details.
113,"Park Gwyn, St. Stephen, St. Austell, Cornwall",Please contact Miller Countrywide on 01726 66435 for viewing details.
114,"Liskeard Road, Callington",Please contact Miller Countrywide on 01579 383585 for viewing details.
115,"West Street, Millbrook, Torpoint, Cornwall",Please contact Stratton Creber on 01752 813189 for viewing details.
116,"Hengar Manor, St Tudy, Cornwall",Please contact Stratton Creber on 01208 74422 for viewing details.
117,"Fore Street, St. Columb Major, Cornwall",Please contact Stratton Creber on 01637 40009 for viewing details.
118,"Essa Road, Saltash, Cornwall",Please contact Miller Countrywide on 01752 668242. for viewing details.
119,"Luscombe Road, Paignton, Devon",Please contact Miller Countrywide on 01803 529300 for viewing details.
120,"Crescent Place, Pendeen, Penzance, Cornwall",Please contact Stratton Creber on 01736 360070 for viewing details.
121,"Court Avenue, Stoke Gifford, Bristol, Gloucestershire"
122,"Millcroft, Ottery St. Mary, Devon",Please contact Fulfords Estate Agents on 01404 539136 for viewing details.
201,"Crompton Road, Bilsthorpe, Newark, Nottinghamshire",Please contact Bairstow Eves on 01623 624873 for viewing details.
202,"Douglas Road, Acocks Green, Birmingham, West Midlands",Please contact Dixons Estate Agents on 01217 079955 for viewing details.
203,"Fleswick Avenue, Whitehaven, Cumbria",Please contact Your Move on 01946 66311 for viewing details.
204,"Farriers Croft, Wigan, Greater Manchester",Please contact Entwistle Green on 01942 826844 for viewing details.
205,"Llanfrothen, Penrhyndeudraeth, Gwynedd",Please contact Beresford Adams on 01766 514523 for viewing details.
206,"Victor Street, Sheffield, South Yorkshire",Please contact Blundells on 0114 232 3246 for viewing details.
207,"Grenobank Road, Grenoside, Sheffield, South Yorkshire",Please contact Blundells on 0114 257 0170 for viewing details.
209,"Wren Street, Burnley, Lancashire",Please contact Bridgfords on 01282 439232 for viewing details.
210,"Lennox Street, Ashton-under-Lyne, Greater Manchester",Please contact Bridgfords on 0161 339 5499 for viewing details.
211,"Raeburn Close, Sheffield, South Yorkshire",Please contact Blundells on 0114 265 5767 for viewing details.
212,"Stradbroke Drive, Sheffield, South Yorkshire",Please contact Blundells on 0114 265 5767 for viewing details.
213,"Grindleford Road, Calver Sough, Calver, Hope Valley, Derbyshire",Please contact Blundells on 0114 254 1185 for viewing details.
214,"Alexandra Road, Manchester, Greater Manchester",Please contact Bridgfords on 0161 861 8321 for viewing details.
215,"Bolton Road, Chorley, Lancashire",Please contact Entwistle Green on 01257 279315. for viewing details.
216,"Curzon Road, Southport, Merseyside",Please contact Entwistle Green on 01704 863577 for viewing details.
217,"Pritchard Close, Sheffield, South Yorkshire",Please contact Blundells on 0114 248 4444 for viewing details.
218,"London Road, Sheffield, South Yorkshire",Please contact Blundells on 0114 255 5651 for viewing details.
219,"Gresford Avenue, Liverpool, Merseyside",Please contact Entwistle Green on 0151 7342220. for viewing details.
220,"Waterbarn Street, Burnley, Lancashire",Please contact Bridgfords on 01282 439232 for viewing details.
221,"Old Street, Ashton-Under-Lyne, Greater Manchester",Please contact Bridgfords on 0161 339 5499 for viewing details.
222,"Morrell Street, Maltby, Rotherham, South Yorkshire",Please contact Blundells on 01709 366708 for viewing details.
223,"Station Road, Whittington Moor, Chesterfield, Derbyshire",Please contact Blundells on 01246 208 768 for viewing details.
224,"Scott Road, Sheffield, South Yorkshire",Please contact Blundells on 0114 257 0170 for viewing details.
225,"Consett Park Terrace, Consett, Durham",Please contact Bridgfords on 0191 644 0645 for viewing details.
226,"Bradshaw Lane, Stretford, Manchester",Please contact Bridgfords on 0161 864 2171 for viewing details.
227,"Stanley Road, Old Trafford, Manchester, Greater Manchester",Please contact Bridgfords on 0161 861 8321 for viewing details.
228,"Fitzwilliam Road, Eastwood, Rotherham",Please contact Blundells on 01709 366708 for viewing details.
229,"Wimbourne Road, Radford, Nottingham",Please contact Bairstow Eves on 01159 063 070 for viewing details.
230,"Davenport Road, Yarm, Durham",Please contact Bridgfords on 01642 780 798 for viewing details.
231,"Edgehill Road, Gipsy Lane, Leicester",Please contact Spencers on 01162 018 092 for viewing details.
,"Western Avenue, Speke, Liverpool, Merseyside"
208,"Northgate Drive, Chorley, Lancashire",Please contact Entwistle Green on 01257 279315 for viewing details.
