1,"186-188 Warley Hill, Warley, Brentwood, Essex, CM14 5HF",Please contact Balgores Hayes on 01277 216800.
2,"1 Church Street, Paignton, Devon, TQ3 3AF"
3,"66 Oriel Road, Daventry, Northamptonshire, NN11 4SP"
4,"16 Fisher Street, Paignton, Devon, TQ4 5EL",Please contact Charles Darrow on 01626 330022
5,"30 Avenue Road, Chadwell Heath, Romford, Essex, RM6 4JF"
6,"20A Middle Street, Worcester, Worcestershire, WR1 1NQ"
7,"4 Wellswood Heights, Higher Erith Road, Torquay, Devon, TQ1 2NH"
8,"Flats 1-8, 1 St. Augustine Road, Littlehampton, West Sussex, BN17 5NG",Please contact Elliott Network Auctions on 020 7871 0420
9,"37 Drew Street, Brixham, Devon, TQ5 9LA",Please contact Charles Darrow on 01626 330022
10,"Flats 1 - 32 St. Georges Court, Bellrock Close, Torquay, Devon, TQ2 8SD",Please contact Charles Darrow on 01626 330022
11,"53 Pentland Road, Worthing, West Sussex, BN13 2PR"
12,"12 Pritchard Avenue, Liverpool, Merseyside, L21 1EJ"
13,"Land at, The Friars, King's Lynn, Norfolk, PE30 5AH"
14,"Flat B, 148 High Street, Harlesden, London, NW10 4SP"
15,"62-70 Victoria Street, Paignton, Devon, TQ4 5DS",Please contact Charles Darrow on 01626 330022
16,"2-8 Wills Street, Lozells, Birmingham, West Midlands, B19 1PP"
17,"6 Sutton Square, Minworth, Sutton Coldfield, West Midlands, B76 9DN"
18,"26-28 Bromham Road, Bedford, Bedfordshire, MK40 2QD",Please contact Elliott Network Auctions on 01923 240420
19,"7 Church Street, Paignton, Devon, TQ3 3AF",Please contact Charles Darrow on 01626 330022
20,"33 Church Street, Paignton, Devon, TQ3 3AJ",Please contact Charles Darrow on 01626 330022
21,"Barlands, Rectory Road, Dolton, Devon, EX19 8QL"
22,"59 Morris Lane, St. Thomas, Swansea, West Glamorgan, SA1 8BE"
23,"73 Quarry View, Camp Hill, Newport, Isle of Wight, PO30 5PJ"
24,"50E Chaucer Road, Bedford, Bedfordshire, MK40 2AP"
25,"3 Aylett Close, Brading, Sandown, Isle of Wight, PO36 0AP"
26,"36 Church Street, Paignton, Devon, TQ3 3AH",Please contact Charles Darrow on 01626 330022
27,"38 Church Street, Paignton, Devon, TQ3 3AH",Please contact Charles Darrow on 01626 330022
28,"40 Church Street, Paignton, Devon, TQ3 3AH",Please contact Charles Darrow on 01626 330022
29,"209B Shenley Road, Borehamwood, Hertfordshire, WD6 1AT"
30,"5 Hale Way, Shoeburyness, Southend-on-Sea, Essex, SS3 9GB"
31,"25 High Street, Hemel Hempstead, Hertfordshire, HP1 3AA"
32,"51 Mayflower Street, Plymouth, Devon, PL1 1QL"
33,"21 Nelson Crescent, Ryde, Isle of Wight, PO33 3QN"
34,"11 Weldon Close, Ruislip, Middlesex, HA4 6RA"
35,"Hyde Corner, 60-62 Torquay Road and 2-6 Hyde Road, Paignton, Devon, TQ3 3AA",Please contact Charles Darrow on 01626 330022
36,"Land to the South of Station Road, Bramley, Guildford, Surrey, GU5 0DP"
37,"Flats 1 - 8 Maple Court, Sands Road, Paignton, Devon, TQ4 5AS",Please contact Charles Darrow on 01626 330022
38,"227 & 227a Mary Vale Road, Birmingham, West Midlands, B30 2DL"
39,"112 West Street, Farnham, Surrey, GU9 7HH",Please contact Network Auctions on 020 7871 0420
40,"Land to the rear of, 129-145 Broad Oak Way, Stevenage, Hertfordshire, SG2 8RB",Please contact Elliott Network Auctions on 01923 240420
41,"Land Comprising 97 plots adjacent to Staines Rugby Club, Snakey Lane, Feltham, Middlesex, TW13 7NB"
42,"Church Cottage, Cheriton Fitzpaine, Crediton, Devon, EX17 4JG"
43A,"4 Belmont Road, Minster on Sea, Sheerness, Kent, ME12 3BL"
44A,"Flat 512 Baquba Building, Conington Road, London, SE13 7FG"
45A,"4 Takeley Close, Romford, Essex, RM5 3PX"
46A,"1 Peterborough Avenue, High Wycombe, Buckinghamshire, HP13 6DX"
47A,"88-92 Turners Hill, Cheshunt, Hertfordshire, EN8 8LQ",Please contact Elliott Network Auctions on 01923 240420
48A,"Flat 2 Coldharbour Lane House, 106-126 Coldharbour Lane, Hayes, Middlesex, UB3 3HD"
49A,"Former Hermetic Rubber Works, Osler Street, Birmingham, West Midlands, B16 9EU",Please contact Elliott Network Auctions on 020 7871 0420
